model,term,coefficient,std_error,z_value,p_value
high_burglary_top50,(Intercept),-3.655569353477517,0.05441241332713274,-67.1826359088298,0.0
high_burglary_top50,interact_SHOPPING_x_TRANSPORTATION,1.4923868113352028,4.78593129120469,0.3118278806212337,0.755171334105866
high_burglary_top50,interact_SHOPPING_x_AUTOMOTIVE,-0.989535249592469,4.959837522622309,-0.19950960995780626,0.8418641268012088
high_burglary_top50,interact_SHOPPING_x_SERVICES,-0.5946191284315054,8.73637905875731,-0.0680624231655175,0.9457359429310163
high_burglary_top50,interact_SHOPPING_x_FOOD_DRINK,-1.02748736474242,4.86661099569873,-0.21112995586673086,0.8327858656512639
high_burglary_top50,interact_SHOPPING_x_ENTERTAINMENT_RECREATION,-1.1710017466644191,2.4995294325226305,-0.46848888091811536,0.639435020642837
high_burglary_top50,interact_SHOPPING_x_HEALTH_WELLNESS,3.3255555721140997,6.715573280853467,0.49520054849158945,0.6204585634929366
high_burglary_top50,interact_SHOPPING_x_PLACE_OF_WORSHIP,-2.527706940585432,8.75647686554518,-0.28866711799712574,0.772836127973799
high_burglary_top50,interact_AUTOMOTIVE_x_SERVICES,0.0550610094442273,6.827599821786939,0.008064475200864448,0.9935655494912251
high_burglary_top50,interact_AUTOMOTIVE_x_FOOD_DRINK,0.1555670622403604,3.929369039608167,0.03959085050862859,0.9684193219578993
high_burglary_top50,interact_AUTOMOTIVE_x_HEALTH_WELLNESS,-0.8535869862870069,5.701023037766488,-0.14972523012666514,0.8809814017958106
high_burglary_top50,interact_AUTOMOTIVE_x_PLACE_OF_WORSHIP,2.357377938266384,6.934442441553339,0.3399520521131218,0.7338926365447378
high_burglary_top50,interact_SERVICES_x_FOOD_DRINK,-0.12620538900751266,4.63142385504919,-0.027249803291038287,0.9782604931540376
high_burglary_top50,interact_HEALTH_WELLNESS_x_PLACE_OF_WORSHIP,0.8190482349808177,3.4176443834649253,0.23965285532441455,0.8105993858982816
high_burglary_top50,interact_HEALTH_WELLNESS_x_FINANCE,-2.1186701655769644,4.545240907244469,-0.4661293446954825,0.6411229197883572
high_burglary_top50,interact_PLACE_OF_WORSHIP_x_EDUCATION,-0.48252740844825537,1.7925898418011597,-0.26917892604111887,0.7877919965441837
high_burglary_top50,interact_PLACE_OF_WORSHIP_x_FINANCE,0.719629608459776,2.7930227739145956,0.2576526103477381,0.796675022898911
high_violence_jenks,(Intercept),-6.197638545306613,0.1900100706064072,-32.61742141101876,2.3225396773187206e-233
high_violence_jenks,interact_SHOPPING_x_TRANSPORTATION,1.7616571284359495,27.586109147174348,0.06386029718933366,0.949081465971822
high_violence_jenks,interact_SHOPPING_x_AUTOMOTIVE,-1.0530391895092017,25.432162728047135,-0.0414058057417149,0.9669723844556132
high_violence_jenks,interact_SHOPPING_x_SERVICES,-0.19878316564842263,39.89401984211688,-0.004982781039241461,0.9960243323903182
high_violence_jenks,interact_SHOPPING_x_FOOD_DRINK,-2.7007358267381756,33.84097969707274,-0.07980666785990805,0.9363910210572777
high_violence_jenks,interact_SHOPPING_x_ENTERTAINMENT_RECREATION,-1.7343581358439155,13.80990100061063,-0.12558802092551044,0.9000580457886531
high_violence_jenks,interact_SHOPPING_x_HEALTH_WELLNESS,5.63696917610522,34.98589157294023,0.1611212097983269,0.8719979354867656
high_violence_jenks,interact_SHOPPING_x_PLACE_OF_WORSHIP,-3.6027538851501575,38.17163534488545,-0.09438301117043664,0.9248049106792441
high_violence_jenks,interact_AUTOMOTIVE_x_SERVICES,0.0674718765098869,36.16822423225483,0.0018655014986805867,0.9985115460193753
high_violence_jenks,interact_AUTOMOTIVE_x_FOOD_DRINK,0.47404728587980854,20.569463444666564,0.023046166816894965,0.9816134469209852
high_violence_jenks,interact_AUTOMOTIVE_x_HEALTH_WELLNESS,-1.930236523058542,25.476878187286587,-0.07576424822809587,0.9396066601201047
high_violence_jenks,interact_AUTOMOTIVE_x_PLACE_OF_WORSHIP,3.3467412972438453,34.422542621039305,0.09722527862303504,0.9225474937020947
high_violence_jenks,interact_SERVICES_x_FOOD_DRINK,-0.0977096440242999,23.971872991820966,-0.004076012085398489,0.9967478218926303
high_violence_jenks,interact_HEALTH_WELLNESS_x_PLACE_OF_WORSHIP,1.2729210296904268,17.656597425581516,0.07209322379668535,0.9425277188218008
high_violence_jenks,interact_HEALTH_WELLNESS_x_FINANCE,-3.2620296696592335,22.996712968879084,-0.14184764901286814,0.8872003460926244
high_violence_jenks,interact_PLACE_OF_WORSHIP_x_EDUCATION,-0.7114588366135826,11.295842985280963,-0.06298412943068067,0.9497791421066308
high_violence_jenks,interact_PLACE_OF_WORSHIP_x_FINANCE,1.0943314923028442,13.61444025466919,0.08038020453522014,0.9359348704477756
high_violence_top25,(Intercept),-4.559295954373796,0.08433216801915638,-54.063544925563086,0.0
high_violence_top25,interact_SHOPPING_x_TRANSPORTATION,1.7631387467875927,9.563306503553266,0.18436497315363626,0.8537271461511944
high_violence_top25,interact_SHOPPING_x_AUTOMOTIVE,-1.1581148386543254,9.550405401867948,-0.12126342180488082,0.90348239133754
high_violence_top25,interact_SHOPPING_x_SERVICES,-0.6266571427940599,15.668385932603885,-0.03999500302644878,0.9680971101144529
high_violence_top25,interact_SHOPPING_x_FOOD_DRINK,-1.617115974127651,10.665219681636362,-0.15162519126652788,0.879482563371898
high_violence_top25,interact_SHOPPING_x_ENTERTAINMENT_RECREATION,-1.5265315578333614,5.249872077373005,-0.2907750008638736,0.7712234060381944
high_violence_top25,interact_SHOPPING_x_HEALTH_WELLNESS,4.544489112529703,13.358480472218034,0.34019506350149564,0.7337096354855386
high_violence_top25,interact_SHOPPING_x_PLACE_OF_WORSHIP,-3.236493910857097,15.614882459494556,-0.20726982218743262,0.8357991407855385
high_violence_top25,interact_AUTOMOTIVE_x_SERVICES,0.09535855200411453,13.432292615658005,0.007099201508829193,0.9943357043009375
high_violence_top25,interact_AUTOMOTIVE_x_FOOD_DRINK,0.1978804841842305,7.614842149788936,0.025986157072174533,0.9792683797797614
high_violence_top25,interact_AUTOMOTIVE_x_HEALTH_WELLNESS,-1.3377207129901107,10.043056292185266,-0.13319856765425303,0.89403634360048
high_violence_top25,interact_AUTOMOTIVE_x_PLACE_OF_WORSHIP,3.0649491728823826,13.501124181662917,0.22701436796242228,0.8204125698024499
high_violence_top25,interact_SERVICES_x_FOOD_DRINK,-0.058141918101866114,9.035307631524656,-0.006434968290288861,0.994865673586344
high_violence_top25,interact_HEALTH_WELLNESS_x_PLACE_OF_WORSHIP,1.0526719116566678,6.632549786923877,0.15871300562749166,0.8738949910557818
high_violence_top25,interact_HEALTH_WELLNESS_x_FINANCE,-2.75785787430146,8.93018617753178,-0.3088242304779928,0.7574552362361827
high_violence_top25,interact_PLACE_OF_WORSHIP_x_EDUCATION,-0.6250866348227588,3.921177631738253,-0.1594129859772914,0.8733435084093494
high_violence_top25,interact_PLACE_OF_WORSHIP_x_FINANCE,0.9345694681828058,5.346018858721926,0.17481596920633263,0.8612242399522854
high_larceny_top25,(Intercept),-5.974778876011808,0.1697501174153525,-35.197494805805874,2.1840218615531085e-271
high_larceny_top25,interact_SHOPPING_x_TRANSPORTATION,1.6499360876330682,18.378476588492493,0.08977545443925204,0.9284656539308646
high_larceny_top25,interact_SHOPPING_x_AUTOMOTIVE,-1.0591604776146213,19.068789090184094,-0.05554419174733218,0.9557049243449225
high_larceny_top25,interact_SHOPPING_x_SERVICES,-0.4366053359661954,30.976175413159314,-0.014094875501664305,0.9887542888078513
